,Country,Continent,Production (Tons),Production per Person (Kg),Acreage (Hectare),Yield (Kg / Hectare)
0,Brazil,South America,768.68,"3.668,531",10.226.205,"75.167,5"
1,India,Asia,348.45,260721.00,4.950.000,"70.393,5"
2,China,Asia,123.06,88287.00,1.675.215,"73.459,1"
3,Thailand,Asia,87.47,"1.264,303",1.336.575,"65.442,2"
4,Pakistan,Asia,65.45,324219.00,1.130.820,57.88
5,Mexico,North America,56.45,452524.00,781.05,72.27
6,Colombia,South America,36.95,740075.00,416.63,"88.691,5"
7,Australia,Oceania,34.40,"1.373,406",447.20,"76.929,1"
8,Guatemala,North America,33.53,"1.938,114",259.85,"129.049,3"
9,United States of America,North America,29.93,91304.00,370.53,80.77
10,Indonesia,Asia,27.16,10248.00,472.69,"57.455,5"
11,Philippines,Asia,22.37,210232.00,410.10,"54.548,5"
12,Argentina,South America,21.99,494237.00,331.70,"66.297,5"
13,Cuba,North America,18.89,"1.683,528",442.31,"42.710,1"
14,Vietnam,Asia,16.31,172334.00,256.32,"63.643,2"
15,Egypt,Africa,15.76,161651.00,137.01,"115.030,6"
16,South Africa,Africa,15.07,261143.00,246.94,"61.046,3"
17,Myanmar,Asia,10.44,193771.00,163.65,"63.776,7"
18,Peru,South America,9.83,314768.00,87.70,"112.120,2"
19,Ecuador,South America,8.66,507518.00,104.66,"82.758,4"
20,Iran,Asia,7.69,9403.00,95.79,"80.259,1"
21,El Salvador,North America,7.20,"1.084,111",79.10,"91.047,6"
22,Kenya,Africa,7.09,139244.00,86.88,"81.663,7"
23,Bolivia,South America,6.91,61118.00,152.31,"45.374,5"
24,Nicaragua,North America,6.82,"1.084,393",74.13,"91.935,1"
25,Paraguay,South America,6.71,951087.00,120.00,55.90
26,Swaziland,Africa,5.58,"4.816,299",57.85,"96.511,4"
27,Sudan,Africa,5.53,135428.00,69.56,"79.424,5"
28,Honduras,North America,5.36,59427.00,64.67,"82.821,3"
29,Dominican Republic,North America,4.72,459519.00,106.81,44.17
30,Nepal,Asia,4.35,148765.00,80.93,"53.709,4"
31,Zambia,Africa,4.29,253784.00,41.70,"102.789,6"
32,Bangladesh,Asia,4.21,25481.00,98.36,"42.778,8"
33,Costa Rica,North America,4.16,83111.00,69.03,60.24
34,Mauritius,Africa,3.80,"3.002,994",51.48,"73.789,2"
35,Uganda,Africa,3.72,95897.00,54.91,"67.801,4"
36,Zimbabwe,Africa,3.48,234563.00,43.50,80.07
37,Venezuela,South America,3.33,104664.00,52.23,"63.780,4"
38,Madagascar,Africa,3.01,114445.00,94.16,"31.921,6"
39,Tanzania,Africa,2.99,55243.00,108.49,"27.599,1"
40,Malawi,Africa,2.92,162584.00,27.09,"107.629,5"
41,Mozambique,Africa,2.76,9568.00,42.31,"65.266,8"
42,Panama,North America,2.42,581814.00,38.00,"63.683,1"
43,Guyana,South America,2.39,"3.061,207",44.31,"54.039,7"
44,Congo-Kinshasa,Africa,2.19,2694.00,48.91,"44.803,4"
45,Laos,Asia,2.02,290036.00,36.18,"55.804,3"
46,C̫te d'Ivoire,Africa,1.98,79606.00,25.21,"78.660,3"
47,Japan,Asia,1.57,12444.00,28.90,"54.461,6"
48,Fiji,Oceania,1.56,"1.759,199",36.71,"42.411,3"
49,Haiti,North America,1.47,132522.00,23.18,"63.521,9"
50,Belize,North America,1.46,"3.682,047",33.96,"42.917,7"
51,Jamaica,North America,1.42,521254.00,26.26,"54.178,2"
52,Ethiopia,Africa,1.41,13115.00,31.24,"45.148,8"
53,Nigeria,Africa,1.34,6776.00,82.59,"16.196,1"
54,Cameroon,Africa,1.29,54162.00,135.98,"9.477,1"
55,Trinidad and Tobago,North America,810.00,597066.00,15.00,54.00
56,Sri Lanka,Asia,748.00,34877.00,16.75,"44.647,8"
57,Senegal,Africa,697.00,44321.00,5.90,"118.085,3"
58,Congo-Brazzaville,Africa,687.00,127292.00,20.13,"34.142,4"
59,Cambodia,Asia,611.00,38014.00,27.39,"22.305,5"
60,Angola,Africa,556.00,19012.00,14.26,"39.011,6"
61,Burkina Faso,Africa,485.00,23951.00,4.82,"100.526,3"
62,Chad,Africa,456.00,297.00,4.43,"102.867,1"
63,Morocco,Africa,427.00,12265.00,10.43,"40.876,3"
64,Taiwan,Asia,396.00,16788.00,5.92,"66.896,6"
65,Uruguay,South America,368.00,104878.00,7.60,"48.381,6"
66,Mali,Africa,365.00,19108.00,5.04,"72.521,1"
67,Guinea,Africa,305.00,25664.00,5.68,"53.668,4"
68,Gabon,Africa,286.00,138553.00,4.65,"61.675,3"
69,Liberia,Africa,273.00,6225.00,26.78,"10.186,4"
70,Burundi,Africa,218.00,2042.00,3.00,"72.753,5"
71,Papua New Guinea,Oceania,218.00,25455.00,7.00,"31.128,9"
72,Niger,Africa,216.00,10064.00,5.84,"36.989,7"
73,Somalia,Africa,211.00,13873.00,5.73,"36.749,2"
74,Ghana,Africa,152.00,5137.00,6.12,"24.848,9"
75,Suriname,South America,125.00,220457.00,3.13,"40.022,4"
76,Central African Republic,Africa,103.00,21742.00,18.47,"5.577,8"
77,Saint Kitts and Nevis,North America,100.00,"2.164,315",1.80,"55.555,6"
78,Rwanda,Africa,93.80,7818.00,11.03,"8.506,3"
79,Barbados,North America,83.40,291105.00,1.73,"48.106,8"
80,Sierra Leone,Africa,77.30,10009.00,1.11,"69.811,3"
81,The Bahamas,North America,57.60,151059.00,2.31,"24.953,5"
82,Cape Verde,Africa,28.40,52152.00,1.30,"21.888,1"
83,Saint Vincent and the Grenadines,North America,17.90,163121.00,732.00,"24.428,9"
84,Afghanistan,Asia,17.40,55.00,1.33,"13.026,3"
85,Bhutan,Asia,14.60,20079.00,467.00,"31.252,7"
86,Benin,Africa,12.00,1058.00,598.00,"20.095,3"
87,Iraq,Asia,11.70,297.00,584.00,20.00
88,Saint Lucia,North America,10.00,55915.00,125.00,80.00
89,Grenada,North America,7.27,70388.00,162.00,"44.822,3"
90,Guinea-Bissau,Africa,6.86,4331.00,259.00,"26.498,8"
91,Malaysia,Asia,5.71,175.00,88.00,"65.223,8"
92,Portugal,Europe,5.43,528.00,62.00,"88.274,4"
93,Antigua and Barbuda,North America,5.37,6217.00,83.00,"64.638,6"
94,Dominica,North America,4.86,68099.00,244.00,"19.914,4"
95,Oman,Asia,1.19,237.00,51.00,"23.432,2"
96,Yemen,Asia,500.00,17.00,50.00,10.00
97,Spain,Europe,394.00,8.00,9.00,"43.596,5"
98,Lebanon,Asia,97.00,16.00,3.00,"28.386,4"
99,Djibouti,Africa,53.00,51.00,,
100,Singapore,Asia,50.00,9.00,2.00,25.00
101,Samoa,Oceania,12.00,6.00,1.00,"11.949,8"
102,Syria,Asia,1.00,0.00,0.00,"83.034,2"
